city,aqi,pm25,pm10,no2,co,so2,o3,temperature_c,humidity_pct,wind_speed_km/h,rainfall_mm,pressure_hpa,vehicle_count,industrial_activity_index,health_impact_score,aqi_category
Indore,499,43.92785813697315,197.6360788899605,29.71466150263347,8.452098303791184,31.36539675732331,5.201829770161538,11.61444775226534,98.16968650757876,17.8830981177221,71.76506909339909,973.8307396442932,66629,6.326557084316594,10,Severe
Bangalore,499,57.93169018670945,67.48759561088463,46.79672940771526,0.4157721341384811,21.08538209635661,14.38206609694258,39.75218641099936,25.56761310088405,1.910761298818768,183.7313920773049,968.7678678446752,353438,2.34511354112575,10,Severe
Thane,499,126.9852461368535,175.3100668468343,76.52432006298423,6.195369848432631,33.21762891611456,75.39583986562324,17.67483951289932,95.4417643317,1.831541611339614,299.9717621076247,996.5993419075004,73341,3.21387299922661,10,Severe
Nashik,499,219.6246711799912,197.67900900321,66.6763967519856,9.208121920098412,27.09195205557784,19.70309241563876,23.66383644534086,79.40937144201703,5.417649856659359,242.0108670796831,1006.651164681267,311508,3.758249128993849,10,Severe
Patna,499,20.33485387491437,235.938013208874,16.10049693638342,8.204477700322354,16.51504294303811,45.89478565370367,24.21662142272969,43.38910879066317,10.25474133866165,120.4803363210785,1042.811568408788,144412,7.116401823405615,10,Severe
Nagpur,499,97.69001351820636,215.493395094365,6.589177682319493,6.61712821818324,6.081814379301397,98.97679121052352,32.49719836227624,77.12629199149694,10.62609019534902,226.9763812526017,1008.814046605497,129774,7.437342520397189,10,Severe
Vadodara,499,234.7545451297735,136.3367455512476,18.88923620376554,1.969787186580887,27.92149998178178,72.41961819898857,32.26426184112357,55.3565117615998,12.88545286508872,113.0267217072762,1007.837838932619,367762,0.5696889155962936,10,Severe
Nagpur,499,124.0101946309193,114.6326471470209,55.95257876487092,5.990489597950325,14.66014848309785,20.35536627558204,19.6561548903659,97.0956166547394,1.516707400182976,248.1815539486084,1024.378953186397,174996,4.100485609254312,10,Severe
Chennai,499,105.9477105524508,38.43866300665653,54.9199627550727,3.464059928396604,37.1498455462206,86.1139059148411,29.93055032215965,77.22003478784562,2.828371436935248,222.0166147562405,1025.395011068601,125259,2.308618929485138,10,Severe
Nashik,499,160.1309976937038,230.2563634822539,72.64873746142742,0.6396479020157982,40.77492929597446,99.68092235766156,26.18560875631185,87.04422238419136,14.20342895087585,98.37321785875316,1016.980094453133,139127,0.8621975310423913,10,Severe
Vadodara,499,223.1086602861024,231.9929166469064,73.46677435194401,5.824408681859039,21.08887734962499,83.28761671583892,30.41204986124888,65.55716487109999,1.387766284003462,21.50223322717065,990.7357987964424,455440,2.161585984198658,10,Severe
Kolkata,499,132.238403787669,173.1430408262473,52.96241571102659,9.652784418589215,24.47999893042017,39.69430399104161,35.92710282577815,78.27899691485403,16.81845326412926,140.3823993420559,973.8972999527388,104198,4.815201398719894,10,Severe
Delhi,499,237.2804457221838,149.5350596152693,17.24393303924341,7.88225284828493,27.12810374205765,58.04375030485439,37.69880371228855,72.1842530263422,17.13326556517699,176.0221478951054,1019.403232077602,374770,1.057206836506934,10,Severe
Meerut,499,246.6745694162469,118.356524135534,67.10676332542502,2.91685576020789,28.35839839074562,86.00368939760864,11.35152135405717,28.32403089208884,19.63661798506306,156.8071281767475,983.7320656289958,316237,4.931670505494302,10,Severe
Lucknow,499,76.99818260666663,251.3032039159925,73.13757281519925,6.425167611270171,14.07842588442917,88.05579957559753,36.75123048405553,55.87089437866866,10.03666570738122,9.36270146414282,1020.266859842569,132517,4.14599135306973,10,Severe
Mumbai,499,93.63211944406392,110.0002543456315,54.51971393719961,2.66439775068471,48.51877615204702,6.280330664835263,42.36557238022933,60.60684453821152,9.675001633939049,11.6907087213329,1029.049291459268,189349,8.597342077157753,10,Severe
Srinagar,499,85.30771074665498,60.89911155925078,44.8324826951076,3.135974207629423,46.2436719953546,30.10791172459079,34.23224364032798,23.9178135323186,10.98386589449908,8.27532910026293,970.2153931267565,23481,6.609032170522776,10,Severe
Ludhiana,498,35.92146709925096,35.03817559251848,56.72195557607292,9.703738553101536,11.01542143322427,53.63992854282777,12.35618728684732,88.92184404011599,15.7287550878789,80.40334056073597,1014.089118376085,329736,7.342346266482849,10,Severe
Thane,498,45.62711153190698,157.9603813198086,52.72926662716676,1.134327194378047,18.13795073758074,92.00528771863394,28.98750642350433,60.38458324782151,18.07325166588063,245.1347066702571,1008.880984476742,165926,2.033380990024845,10,Severe
Vadodara,498,42.64969411989266,238.4712574854575,67.57857536732826,2.961272680934668,32.04423717847658,40.12114183224843,37.04785033854584,98.6868268145493,18.84270198578788,252.9612696694416,992.7261123331403,75187,4.703260724307956,10,Severe
