city,Observation_Count,Average_AQI,Median_AQI,Maximum_AQI,Average_PM25,Average_PM10
Ahmedabad,435,288.75632183908044,296.0,498,127.10421667707462,168.5135852697288
Kolkata,417,283.6954436450839,283.0,499,132.7344196639904,162.2413696737045
Thane,433,283.4434180138568,283.0,499,129.71430921948996,159.8344399611745
Jaipur,398,281.57286432160805,299.0,497,134.76184421028478,160.74446128697855
Vadodara,417,279.7601918465228,281.0,499,130.52334442876727,157.24202839256128
Lucknow,442,277.36199095022624,276.5,499,130.3701510255642,163.6433242017721
Nashik,448,275.73660714285717,269.0,499,131.49576361086267,154.85653120732147
Surat,368,275.4755434782609,274.5,496,133.00661783610622,161.20503449072766
Hyderabad,418,274.5598086124402,270.0,498,126.063328602765,154.34146679436827
Chennai,419,274.16945107398567,274.0,499,135.061317370503,167.2495751541676
Rajkot,428,273.94392523364485,273.0,496,128.96164011049837,157.58860155774997
Nagpur,492,273.8272357723577,281.5,499,133.88164452147197,166.75647692369142
Indore,399,273.719298245614,270.0,499,130.57017589424817,159.4424879014625
Bangalore,419,272.5966587112172,267.0,499,132.50216028231821,161.89304428844247
Varanasi,430,271.0232558139535,261.5,498,133.23953535961468,164.17011196547952
Agra,408,270.4779411764706,264.5,497,128.15938802714788,160.05326357163258
Pune,435,269.8965517241379,277.0,498,131.1972584269133,158.3558984984641
Mumbai,377,269.6445623342175,262.0,499,122.29945423812875,157.18954812459535
Delhi,377,269.0477453580902,267.0,499,132.04988521212096,159.93251194891405
Patna,373,267.15817694369974,264.0,499,127.87011873461172,164.1716277254579
Meerut,418,266.86602870813397,267.0,499,131.42338349230454,160.70592236865673
Bhopal,398,265.73115577889445,267.5,498,125.80678002897777,161.20493652035972
Srinagar,398,264.36180904522615,256.5,499,128.942482408488,160.09776914974137
Ludhiana,453,263.7836644591612,261.0,498,130.64907507506283,161.30250038684665
