city,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Agra,0,49,87,101,87,84
Ahmedabad,1,37,86,100,108,103
Bangalore,0,53,90,91,93,92
Bhopal,1,60,77,84,100,76
Chennai,0,44,91,100,94,90
Delhi,0,48,81,90,79,79
Hyderabad,0,33,106,93,103,83
Indore,1,49,75,103,79,92
Jaipur,1,42,80,78,107,90
Kolkata,0,42,93,88,97,97
Lucknow,0,44,94,107,96,101
Ludhiana,0,56,109,103,94,91
Meerut,2,50,104,82,102,78
Mumbai,0,40,92,90,75,80
Nagpur,1,51,116,106,107,111
Nashik,0,60,88,102,102,96
Patna,1,50,75,94,74,79
Pune,1,56,89,106,96,87
Rajkot,0,48,99,86,99,96
Srinagar,0,50,88,105,77,78
Surat,1,40,69,96,89,73
Thane,0,39,89,107,93,105
Vadodara,0,44,90,87,89,107
Varanasi,0,49,94,113,82,92
