city,Observation_Count,Average_AQI,Median_AQI,Maximum_AQI,Average_PM25,Average_PM10
Ahmedabad,435,288.75632183908044,296.0,498,127.10421667707462,168.5135852697288
Kolkata,417,283.6954436450839,283.0,499,132.7344196639904,162.2413696737045
Thane,433,283.4434180138568,283.0,499,129.71430921948996,159.8344399611745
Jaipur,398,281.57286432160805,299.0,497,134.76184421028478,160.74446128697855
Vadodara,417,279.7601918465228,281.0,499,130.52334442876727,157.24202839256128
Lucknow,442,277.36199095022624,276.5,499,130.3701510255642,163.6433242017721
Nashik,448,275.73660714285717,269.0,499,131.49576361086267,154.85653120732147
Surat,368,275.4755434782609,274.5,496,133.00661783610622,161.20503449072766
Hyderabad,418,274.5598086124402,270.0,498,126.063328602765,154.34146679436827
Chennai,419,274.16945107398567,274.0,499,135.061317370503,167.2495751541676
